Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
RASGEF1C	"RasGEF domain family member 1C"	"Evidence at transcript level"	"Tissue enriched"	"Detected in some"	6	"brain: 33.3"	"Cell type enriched"	"Detected in some"	9	"Microglial cells: 179.8"	"Low region specificity"	"Detected in all"			0.33	0.6	0.0	19.5	12.0	179.8	14.1	18.5	16.9
RASGRF1	"Ras protein specific guanine nucleotide releasing factor 1"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"brain: 52.5"	"Group enriched"	"Detected in some"	4	"Alveolar cells type 2: 90.7;Excitatory neurons: 78.3;Horizontal cells: 66.1;Inhibitory neurons: 87.4;Oligodendrocytes: 113.1"	"Low region specificity"	"Detected in all"			0.16	8.1	0.0	78.3	87.4	5.4	1.4	113.1	1.0
RASGRF2	"Ras protein specific guanine nucleotide releasing factor 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 22.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 213.7;Inhibitory neurons: 390.7;Microglial cells: 85.0;Oligodendrocytes: 368.2;Oocytes: 164.7"	"Low region specificity"	"Detected in all"			0.17	9.6	1.8	213.7	390.7	85.0	8.0	368.2	0.3
RASGRP1	"RAS guanyl releasing protein 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 24.3;lymphoid tissue: 37.2;retina: 17.3"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 52.1;Muller glia cells: 72.8;NK-cells: 107.7;T-cells: 90.3"	"Low region specificity"	"Detected in all"			0.22	6.2	7.7	52.1	15.7	8.9	2.4	3.7	2.8
RASGRP2	"RAS guanyl releasing protein 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 145.4;lymphoid tissue: 137.1"	"Cell type enhanced"	"Detected in many"		"B-cells: 114.4;dendritic cells: 64.6;Kupffer cells: 69.2;monocytes: 139.2;NK-cells: 85.4;Smooth muscle cells: 60.4;T-cells: 67.9"	"Low region specificity"	"Detected in all"			0.29	2.5	64.6	5.8	11.7	6.3	2.4	0.8	9.5
RASGRP3	"RAS guanyl releasing protein 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 45.6;skeletal muscle: 40.4"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 56.4;Exocrine glandular cells: 72.2;Lymphatic endothelial cells: 103.4;Oligodendrocytes: 173.6;Plasma cells: 66.8"	"Low region specificity"	"Detected in all"			0.19	1.9	4.0	4.7	3.3	33.1	2.4	173.6	10.8
RASGRP4	"RAS guanyl releasing protein 4"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"bone marrow: 20.5;lymphoid tissue: 8.7"	"Group enriched"	"Detected in some"	5	"granulocytes: 32.4;Hofbauer cells: 22.4;Kupffer cells: 25.5;Langerhans cells: 14.8;Macrophages: 19.4;monocytes: 31.0"	"Low region specificity"	"Detected in all"			0.25	0.0	1.6	0.7	0.4	0.0	0.5	0.2	3.8
RASL10B	"RAS like family 10 member B"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 33.5;skeletal muscle: 30.4"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 52.4;Late spermatids: 33.4;Muller glia cells: 22.9"	"Low region specificity"	"Detected in all"			0.16	0.3	0.0	2.5	4.8	0.9	0.5	0.5	0.2
RASL11A	"RAS like family 11 member A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Gastric mucus-secreting cells: 38.9;monocytes: 33.8;Smooth muscle cells: 110.3"	"Low region specificity"	"Detected in all"			0.18	0.3	0.4	0.6	0.6	1.8	0.5	1.7	5.9
RASL11B	"RAS like family 11 member B"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 26.9;ovary: 64.3"	"Cell type enhanced"	"Detected in some"		"Cytotrophoblasts: 13.1;Distal enterocytes: 4.9;Extravillous trophoblasts: 7.7;Gastric mucus-secreting cells: 5.3;Ovarian stromal cells: 8.2;Paneth cells: 4.8"	"Low region specificity"	"Detected in all"			0.41	0.3	0.0	2.6	1.0	4.5	0.5	0.8	0.3
RASSF10	"Ras association domain family member 10"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 5.8;skin 1: 6.4"	"Group enriched"	"Detected in many"	4	"Basal squamous epithelial cells: 141.2;Squamous epithelial cells: 114.5"	"Low region specificity"	"Detected in many"			0.36	0.6	0.0	0.0	0.0	1.8	0.0	0.0	0.2
RASSF2	"Ras association domain family member 2"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"bone marrow: 90.2;brain: 283.8;lymphoid tissue: 71.6;retina: 157.8"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 120.1;Kupffer cells: 92.8;Langerhans cells: 84.7;monocytes: 231.1;Oligodendrocytes: 99.3;Peritubular cells: 147.0;Rod photoreceptor cells: 137.0"	"Low region specificity"	"Detected in all"			0.16	7.1	120.1	1.5	1.3	25.0	31.6	99.3	46.1
RASSF3	"Ras association domain family member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"intestine: 103.0"	"Cell type enhanced"	"Detected in many"		"Langerhans cells: 180.3;monocytes: 168.7"	"Low region specificity"	"Detected in all"			0.24	4.0	17.9	8.4	15.6	47.4	3.3	4.5	12.5
RASSF4	"Ras association domain family member 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 75.2"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 153.5;Langerhans cells: 116.0;Muller glia cells: 233.9;Proximal tubular cells: 125.8;Schwann cells: 189.9"	"Low region specificity"	"Detected in all"			0.07	73.4	6.1	16.4	32.3	34.0	35.4	35.5	189.9
RASSF6	"Ras association domain family member 6"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 29.8;stomach 1: 34.0"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 67.0;Enteroendocrine cells: 70.2;Exocrine glandular cells: 67.8;Gastric mucus-secreting cells: 146.2;Intestinal goblet cells: 65.3;Salivary duct cells: 69.4"	"Region enriched"	"Detected in some"	5	"choroid plexus: 11.3"	0.75	0.0	0.0	0.3	0.1	0.0	0.0	0.3	0.0
RASSF7	"Ras association domain family member 7"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 123.9"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 199.0;Intestinal goblet cells: 165.5;Paneth cells: 160.3"	"Low region specificity"	"Detected in all"			0.19	3.1	18.9	5.4	2.5	0.9	1.4	0.6	5.8
RASSF8	"Ras association domain family member 8"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 57.8"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 463.5;Late spermatids: 838.8;Microglial cells: 219.2"	"Low region specificity"	"Detected in all"			0.05	132.5	8.6	14.6	86.1	219.2	73.6	86.4	41.2
RAVER1	"Ribonucleoprotein, PTB binding 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 15.0;Enteroendocrine cells: 12.8;Erythroid cells: 17.2;Plasma cells: 12.6;Proximal enterocytes: 13.0;Undifferentiated cells: 12.5"	"Low region specificity"	"Detected in all"			0.08	6.2	3.8	4.6	4.3	6.3	3.8	3.9	0.3
RAVER2	"Ribonucleoprotein, PTB binding 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 69.0;Distal enterocytes: 56.4"	"Low region specificity"	"Detected in all"			0.11	69.0	2.0	28.0	38.7	21.5	37.7	1.7	9.9
RAX2	"Retina and anterior neural fold homeobox 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	40	"retina: 62.5"	"Group enriched"	"Detected in some"	6	"Cone photoreceptor cells: 195.4;Rod photoreceptor cells: 201.7"	"Low region specificity"	"Detected in all"			0.11	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
RB1	"RB transcriptional corepressor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Langerhans cells: 250.2;Melanocytes: 278.3"	"Low region specificity"	"Detected in all"			0.08	71.5	51.3	96.2	94.7	145.8	94.8	91.5	47.2
RB1CC1	"RB1 inducible coiled-coil 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	70.0	93.8	100.5	118.0	73.4	99.5	96.9	52.2
RBAK	"RB associated KRAB zinc finger"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.13	0.0	9.1	0.0	0.0	0.0	0.0	0.0	7.9
RBBP4	"RB binding protein 4, chromatin remodeling factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	30.7	163.1	36.7	39.7	21.5	41.5	46.2	63.8
RBBP5	"RB binding protein 5, histone lysine methyltransferase complex subunit"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	10.8	16.0	19.3	15.0	8.1	13.7	19.7	21.1
RBBP6	"RB binding protein 6, ubiquitin ligase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 141.7"	"Cell type enhanced"	"Detected in all"		"Early spermatids: 380.2"	"Low region specificity"	"Detected in all"			0.12	44.9	95.8	50.7	51.1	51.9	57.5	54.7	138.2
RBBP7	"RB binding protein 7, chromatin remodeling factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cytotrophoblasts: 441.7;Syncytiotrophoblasts: 543.2"	"Low region specificity"	"Detected in all"			0.10	17.6	69.9	25.7	19.8	16.1	43.4	23.0	43.4
RBBP8	"RB binding protein 8, endonuclease"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Basal respiratory cells: 117.6;monocytes: 170.0;Spermatocytes: 123.2"	"Region enriched"	"Detected in all"	6	"choroid plexus: 83.7"	0.44	9.6	50.0	19.7	14.9	8.1	9.0	2.5	19.1
RBBP8NL	"RBBP8 N-terminal like"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 8.8"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 69.5;Enteroendocrine cells: 57.1;Intestinal goblet cells: 62.1;Paneth cells: 52.8;Proximal enterocytes: 149.4"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0
RBBP9	"RB binding protein 9, serine hydrolase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.13	3.7	2.8	3.3	4.7	0.9	4.7	4.4	3.7
RBFA	"Ribosome binding factor A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.13	13.3	8.5	17.7	16.7	11.6	18.4	13.2	38.8
RBFOX1	"RNA binding fox-1 homolog 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 60.6;skeletal muscle: 81.5;tongue: 42.4"	"Group enriched"	"Detected in many"	8	"Excitatory neurons: 5605.1;Inhibitory neurons: 5677.3"	"Low region specificity"	"Detected in all"			0.20	92.9	0.0	5605.1	5677.3	126.1	560.8	641.8	0.1
RBFOX2	"RNA binding fox-1 homolog 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 366.0;Inhibitory neurons: 400.1;Oligodendrocyte precursor cells: 222.6"	"Low region specificity"	"Detected in all"			0.12	179.6	0.0	366.0	400.1	175.3	222.6	120.9	7.4
RBFOX3	"RNA binding fox-1 homolog 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 318.2;intestine: 94.2;urinary bladder: 77.8"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 309.8;Horizontal cells: 51.6;Inhibitory neurons: 156.6;Oocytes: 59.6"	"Low region specificity"	"Detected in all"			0.30	5.6	0.0	309.8	156.6	9.8	10.4	4.5	0.0
RBIS	"Ribosomal biogenesis factor"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	9.9	168.6	20.1	17.3	8.9	15.1	17.6	100.0
RBKS	Ribokinase	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 45.0"	"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 87.4;Proximal tubular cells: 92.6"	"Low region specificity"	"Detected in all"			0.16	13.9	0.8	13.4	17.5	2.7	14.6	9.5	1.6
RBL1	"RB transcriptional corepressor like 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 14.3"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 21.8;Inhibitory neurons: 21.8"	"Low region specificity"	"Detected in all"			0.29	9.9	4.1	14.2	21.8	6.3	18.4	17.2	9.3
RBL2	"RB transcriptional corepressor like 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 427.9;Late spermatids: 283.5"	"Low region specificity"	"Detected in all"			0.09	48.6	43.2	53.2	51.8	55.5	59.4	79.8	33.4
RBM10	"RNA binding motif protein 10"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.06	21.4	17.5	14.3	14.8	8.1	14.1	16.8	10.0
RBM11	"RNA binding motif protein 11"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"epididymis: 44.1"	"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 18.4;Inhibitory neurons: 14.1;Oocytes: 39.7"	"Low region specificity"	"Detected in many"			0.25	1.9	1.8	12.6	14.1	0.0	3.8	5.9	5.2
RBM12	"RNA binding motif protein 12"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.11	0.0	46.7	0.0	0.0	0.0	0.0	0.0	28.7
RBM12B	"RNA binding motif protein 12B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	22.0	9.7	22.9	25.5	20.6	30.7	37.4	14.3
RBM14	"RNA binding motif protein 14"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.08	0.0	49.9	0.0	0.0	0.0	0.0	0.0	23.6
RBM14-RBM4	"RBM14-RBM4 readthrough"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 8.4;Inhibitory neurons: 8.4;Oligodendrocytes: 9.6"	"Low region specificity"	"Detected in all"			0.07	5.3	2.2	8.4	8.4	5.4	3.8	9.6	0.3
RBM15	"RNA binding motif protein 15"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 44.2"	"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.15	20.4	14.2	29.0	25.1	37.6	27.4	29.0	13.1
RBM15B	"RNA binding motif protein 15B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	4.0	26.0	4.2	4.9	2.7	3.3	4.6	25.5
RBM17	"RNA binding motif protein 17"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	23.5	108.7	40.8	39.7	36.7	22.2	37.8	163.1
RBM18	"RNA binding motif protein 18"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 86.4"	"Low region specificity"	"Detected in all"			0.06	1.9	21.2	8.8	12.4	4.5	5.7	10.0	15.3
RBM19	"RNA binding motif protein 19"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.06	18.0	7.0	13.3	12.6	23.3	10.4	14.4	20.5
RBM20	"RNA binding motif protein 20"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 39.3;pancreas: 19.6"	"Cell type enriched"	"Detected in some"	10	"Cardiomyocytes: 181.1"	"Low region specificity"	"Detected in all"			0.42	0.6	0.0	14.2	14.9	17.0	1.4	0.5	0.0
RBM22	"RNA binding motif protein 22"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.09	8.1	47.8	7.2	7.3	6.3	7.1	12.8	41.4
RBM23	"RNA binding motif protein 23"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Rod photoreceptor cells: 161.9"	"Low region specificity"	"Detected in all"			0.10	11.5	51.4	13.0	15.4	18.8	17.5	14.2	26.9
RBM24	"RNA binding motif protein 24"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"heart muscle: 137.0;skeletal muscle: 301.8;tongue: 101.6"	"Group enriched"	"Detected in many"	9	"Cardiomyocytes: 235.1;Skeletal myocytes: 249.8"	"Low region specificity"	"Detected in all"			0.25	0.0	1.2	11.2	6.4	1.8	0.5	0.4	0.2
RBM25	"RNA binding motif protein 25"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.04	89.8	324.8	111.5	95.1	68.0	79.7	124.8	205.5
RBM26	"RNA binding motif protein 26"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 242.9;Oligodendrocytes: 235.5"	"Low region specificity"	"Detected in all"			0.10	141.2	75.3	242.9	163.6	131.5	204.2	235.5	43.1
RBM27	"RNA binding motif protein 27"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.12	19.5	23.4	31.1	30.1	26.8	26.9	40.8	13.0
RBM28	"RNA binding motif protein 28"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	31.6	21.4	12.7	16.8	7.2	17.5	14.3	23.7
RBM3	"RNA binding motif protein 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	17.6	489.0	17.7	17.0	17.9	14.1	16.8	389.9
RBM33	"RNA binding motif protein 33"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	64.7	62.4	83.9	81.9	83.2	91.0	107.0	33.7
RBM34	"RNA binding motif protein 34"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	11.5	19.9	10.3	11.1	15.2	9.4	11.1	3.3
RBM38	"RNA binding motif protein 38"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 263.2;skeletal muscle: 268.9"	"Cell type enhanced"	"Detected in many"		"B-cells: 96.7;dendritic cells: 111.0;Erythroid cells: 101.0;NK-cells: 170.4;T-cells: 85.2"	"Low region specificity"	"Detected in all"			0.13	9.6	111.0	2.5	1.3	2.7	4.2	4.3	16.3
RBM39	"RNA binding motif protein 39"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.07	136.9	614.4	125.6	115.7	123.5	127.8	149.4	407.4
RBM4	"RNA binding motif protein 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	7.7	65.1	23.1	20.4	7.2	14.1	17.5	33.0
RBM41	"RNA binding motif protein 41"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.12	27.6	21.9	37.0	44.6	43.8	47.6	49.7	8.7
RBM42	"RNA binding motif protein 42"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 459.0"	"Low region specificity"	"Detected in all"			0.06	4.3	49.7	2.2	2.5	2.7	3.3	5.4	39.6
RBM43	"RNA binding motif protein 43"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Ovarian stromal cells: 48.6"	"Low region specificity"	"Detected in all"			0.13	2.8	0.8	1.0	1.2	2.7	3.8	0.8	38.6
RBM45	"RNA binding motif protein 45"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.05	8.1	7.8	9.9	12.5	6.3	14.1	12.8	3.6
RBM46	"RNA binding motif protein 46"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	55	"testis: 26.8"	"Group enriched"	"Detected in some"	4	"Oocytes: 141.9;Spermatocytes: 138.0;Spermatogonia: 89.3"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.2	0.2	0.0	0.0	0.1	1.0
RBM47	"RNA binding motif protein 47"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 351.7"	"Region enriched"	"Detected in all"	6	"choroid plexus: 91.9"	0.48	0.6	44.1	2.4	1.8	78.7	2.4	0.8	21.5
RBM48	"RNA binding motif protein 48"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.10	7.7	11.9	19.8	15.1	5.4	10.4	31.9	17.0
RBM4B	"RNA binding motif protein 4B"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Rod photoreceptor cells: 67.8"	"Low region specificity"	"Detected in all"			0.13	14.6	6.5	19.4	24.7	10.7	27.4	28.9	13.8
RBM5	"RNA binding motif protein 5"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 254.7"	"Low region specificity"	"Detected in all"			0.09	103.1	86.9	97.4	102.6	92.1	110.4	126.6	67.2
RBM6	"RNA binding motif protein 6"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.06	163.5	124.5	188.9	207.9	153.9	144.8	165.6	38.8
RBM7	"RNA binding motif protein 7"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 255.2"	"Low region specificity"	"Detected in all"			0.12	1.9	71.3	5.2	5.4	7.2	8.0	9.5	26.6
RBM8A	"RNA binding motif protein 8A"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 787.8"	"Low region specificity"	"Detected in all"			0.03	7.7	202.9	10.4	8.7	8.9	5.7	15.0	162.0
RBMS1	"RNA binding motif single stranded interacting protein 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 432.1"	"Low region specificity"	"Detected in all"			0.14	11.5	55.8	128.2	130.3	146.7	109.0	18.4	82.1
RBMS2	"RNA binding motif single stranded interacting protein 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 68.9"	"Low region specificity"	"Detected in all"			0.06	32.8	5.6	6.9	9.5	51.0	28.8	8.9	21.7
RBMS3	"RNA binding motif single stranded interacting protein 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 314.0;Inhibitory neurons: 628.0;Microglial cells: 968.0;Oligodendrocyte precursor cells: 215.1"	"Low region specificity"	"Detected in all"			0.17	314.0	10.4	19.9	628.0	968.0	215.1	8.3	38.9
RBMX	"RNA binding motif protein X-linked"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	52.3	195.8	32.1	39.4	25.9	53.8	52.6	121.2
RBMX2	"RNA binding motif protein X-linked 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in all"	5	"Oocytes: 317.6"	"Low region specificity"	"Detected in all"			0.12	5.3	16.5	7.1	7.8	2.7	6.6	8.7	21.5
RBMXL1	"RBMX like 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.07	0.0	11.3	0.0	0.0	0.0	0.0	0.0	17.8
RBMY1A1	"RNA binding motif protein Y-linked family 1 member A1"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	83	"testis: 8.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMY1B	"RNA binding motif protein Y-linked family 1 member B"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMY1D	"RNA binding motif protein Y-linked family 1 member D"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	14	"testis: 1.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMY1E	"RNA binding motif protein Y-linked family 1 member E"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	26	"testis: 2.5"	"Cell type enhanced"	"Detected in single"		"Spermatocytes: 1.4"	"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMY1F	"RNA binding motif protein Y-linked family 1 member F"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	32	"testis: 3.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RBMY1J	"RNA binding motif protein Y-linked family 1 member J"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	14	"testis: 1.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
